ID,City,Country,Latitude,Longitude
1,Vancouver,Canada,49.24966,-123.119339
2,Portland,United States,45.523449,-122.676208
3,San Francisco,United States,37.774929,-122.419418
4,Seattle,United States,47.606209,-122.332069
5,Los Angeles,United States,34.052231,-118.243683
6,San Diego,United States,32.715328,-117.157257
7,Las Vegas,United States,36.174969,-115.137222
8,Phoenix,United States,33.44838,-112.074043
9,Albuquerque,United States,35.084492,-106.651138
10,Denver,United States,39.739151,-104.984703
11,San Antonio,United States,29.42412,-98.493629
12,Dallas,United States,32.783058,-96.806671
13,Houston,United States,29.763281,-95.363274
14,Kansas City,United States,39.099731,-94.578568
15,Minneapolis,United States,44.979969,-93.26384
16,Saint Louis,United States,38.62727,-90.197891
17,Chicago,United States,41.850029,-87.650047
18,Nashville,United States,36.16589,-86.784439
19,Indianapolis,United States,39.768379,-86.158043
20,Atlanta,United States,33.749001,-84.387978
21,Detroit,United States,42.331429,-83.045753
22,Jacksonville,United States,30.33218,-81.655647
23,Charlotte,United States,35.227089,-80.843132
24,Miami,United States,25.774269,-80.193657
25,Pittsburgh,United States,40.44062,-79.995888
26,Toronto,Canada,43.700111,-79.416298
27,Philadelphia,United States,39.952339,-75.163788
28,New York,United States,40.714272,-74.005966
29,Montreal,Canada,45.508839,-73.587807
30,Boston,United States,42.358429,-71.059769
31,Beersheba,Israel,31.25181,34.791302
32,Tel Aviv District,Israel,32.083328,34.799999
33,Eilat,Israel,29.55805,34.948212
34,Haifa,Israel,32.815559,34.98917
35,Nahariyya,Israel,33.005859,35.09409
36,Jerusalem,Israel,31.769039,35.216331
